20240426	13:31:39	1b09ccc2-9b0f-4aa9-af45-a233bf54541d	POST	undefined	/employees
20240426	13:31:47	7dd60937-8d3e-456d-aabe-a225e4b7c2d6	PUT	undefined	/employees
20240426	13:31:59	4ce9b207-5d7a-45e6-86bb-61518e4bc2dc	DELETE	undefined	/employees
20240426	13:32:07	9ff9beff-8e73-49e8-9888-f8600c1142d5	GET	undefined	/employees
20240426	13:33:05	0a2ebb59-8573-4c00-bec2-9e6d2af7f681	GET	undefined	/employees
20240426	13:33:16	4a5bd802-f493-44ef-8c7a-0026f5107c5d	POST	undefined	/employees
20240426	13:33:24	26d8b0a7-f4b7-4b75-a101-a02fa92159e0	PUT	undefined	/employees
20240426	16:26:06	9f063389-49b7-4939-a379-94686a9993c6	GET	undefined	/employees
20240426	16:26:19	def23aa6-e40c-4e25-98ae-443aa54599ae	GET	undefined	/employees
20240426	16:26:25	2ac6bdaa-0112-401d-90a7-29588187b08c	DELETE	undefined	/employees
20240426	19:12:20	faf02de6-05df-49b1-a912-e7ae8c931975	GET	undefined	/register
20240426	19:14:38	6dca3924-3e33-4210-bea7-3bd35ccf6146	POST	undefined	/register
20240426	19:18:49	a221b6e1-8057-4d95-a0f2-8192e45b1fbc	POST	undefined	/register
20240426	19:20:26	65d1a4a3-4211-4104-904d-bbe0eea6d4e0	POST	undefined	/register
20240426	19:23:33	2a342cac-372a-4b06-a170-d1caeecf93b2	POST	undefined	/register
20240427	17:38:54	63783859-5752-49ef-9f60-1871565ca9cc	POST	undefined	/register
20240427	17:39:32	9dd3b020-ba3f-4d6e-bfd3-94ae3413ae0c	POST	undefined	/register
20240427	17:40:05	203dae4b-3d91-4fff-8eca-17dd4cef91e3	POST	undefined	/register
20240427	17:41:28	9f0d8340-5ea1-45b9-8f0a-54f653d816d6	POST	undefined	/register
20240427	17:59:54	0ae9e979-c292-4303-82a8-e53521c88c14	POST	undefined	/register
20240427	18:00:18	2282c9be-45d2-44ab-8feb-d1f33c5bdfad	POST	undefined	/register
20240427	18:26:18	bde1bd2f-44d0-4eeb-b49e-68d26827a52c	POST	undefined	/register
20240427	18:26:32	300140f5-6452-4e9f-bf27-28c89b8d41fa	POST	undefined	/register
20240427	18:27:10	8c10f67a-6d0a-485e-b936-f335b94df598	POST	undefined	/auth
20240427	18:28:38	1b280bd0-c26a-43de-9443-6457550add70	POST	undefined	/refresh
20240427	18:30:10	e561a64a-64d3-48a5-828b-2a18bbf15d6f	POST	undefined	/auth
20240427	18:30:27	ef5a6ff7-cecf-4046-a107-a60c9b9b8cbe	POST	undefined	/refresh
20240427	18:31:28	741b1402-5003-4463-a3d2-a219076c0961	POST	undefined	/auth
20240427	18:31:58	6ad3f0d2-8562-41bc-9346-1867b95a2094	POST	undefined	/refresh
20240427	18:33:20	76e50835-d7b1-4ee4-974a-ab1f0c93b721	POST	undefined	/auth
20240427	18:33:31	0df20f97-8295-48ae-a114-772a9d19f01e	POST	undefined	/refresh
20240427	18:38:06	dbac1e63-f7ac-415b-ba02-e71898842a51	POST	undefined	/auth
20240427	18:38:39	87c4b8eb-ab0b-4e95-9be6-1342b66c98cc	POST	undefined	/logout
